SUBJECT,ITEM,LEXICALITY,REPETITION,CASE,RT,ACCURACY
5,50,word,repeated,alternating,735.67,1
5,51,word,repeated,alternating,603.32,1
5,52,word,repeated,alternating,1446.77,1
5,53,word,repeated,alternating,815.21,1
5,54,word,repeated,alternating,704.55,1
5,55,word,repeated,alternating,568.25,1
5,56,word,repeated,alternating,549.34,1
5,57,word,repeated,alternating,638.72,1
5,58,word,repeated,alternating,507.07,1
5,59,word,repeated,alternating,721.89,1
5,60,word,repeated,alternating,627.9,1
5,61,word,unrelated,lowercase,714.88,1
5,62,word,unrelated,lowercase,583.4,1
5,63,word,unrelated,lowercase,680.19,1
5,64,word,unrelated,lowercase,695.69,1
5,65,word,unrelated,lowercase,833.42,1
5,66,word,unrelated,lowercase,644.36,1
5,67,word,unrelated,lowercase,536.28,1
5,68,word,unrelated,lowercase,603.33,1
5,69,word,unrelated,lowercase,1288.92,1
5,70,word,unrelated,lowercase,854.5,1
5,71,word,unrelated,lowercase,748.17,1
5,72,word,unrelated,lowercase,1292.86,1
5,73,word,unrelated,lowercase,559.94,1
5,74,word,unrelated,lowercase,700.08,1
5,75,word,unrelated,lowercase,797.79,1
5,76,word,unrelated,lowercase,623.45,1
5,77,word,unrelated,lowercase,645.87,1
5,78,word,unrelated,lowercase,683.39,1
5,79,word,unrelated,lowercase,639.44,1
5,80,word,unrelated,lowercase,741.43,1
5,81,word,unrelated,lowercase,574.37,1
5,82,word,unrelated,lowercase,689.1,1
5,83,word,unrelated,lowercase,561.18,1
5,84,word,unrelated,lowercase,684.71,1
5,85,word,unrelated,lowercase,764.93,1
5,86,word,unrelated,lowercase,1105.59,1
5,87,word,unrelated,lowercase,694.97,1
5,88,word,unrelated,lowercase,639.41,1
5,89,word,unrelated,lowercase,659.97,1
5,90,word,unrelated,lowercase,552.11,1
5,91,word,unrelated,alternating,777.27,1
5,92,word,unrelated,alternating,NA,0
5,93,word,unrelated,alternating,666.58,1
5,94,word,unrelated,alternating,700.07,1
5,95,word,unrelated,alternating,725.74,1
5,96,word,unrelated,alternating,755.36,1
5,97,word,unrelated,alternating,787.18,1
5,98,word,unrelated,alternating,574,1
5,99,word,unrelated,alternating,597.82,1
5,100,word,unrelated,alternating,660.82,1
5,101,word,unrelated,alternating,592.94,1
5,102,word,unrelated,alternating,578.09,1
5,103,word,unrelated,alternating,683.42,1
5,104,word,unrelated,alternating,572.94,1
5,105,word,unrelated,alternating,793.5,1
5,106,word,unrelated,alternating,798.95,1
5,107,word,unrelated,alternating,685.39,1
5,108,word,unrelated,alternating,656.74,1
5,109,word,unrelated,alternating,716.93,1
5,110,word,unrelated,alternating,744.82,1
5,111,word,unrelated,alternating,1133.43,1
5,112,word,unrelated,alternating,632.8,1
5,113,word,unrelated,alternating,810.57,1
5,114,word,unrelated,alternating,751.09,1
5,115,word,unrelated,alternating,519.67,1
5,116,word,unrelated,alternating,922.46,1
5,117,word,unrelated,alternating,750.08,1
5,118,word,unrelated,alternating,717.24,1
5,119,word,unrelated,alternating,640.56,1
5,120,word,unrelated,alternating,675.43,1
6,1,word,repeated,lowercase,602.48,1
6,2,word,repeated,lowercase,743.78,1
6,3,word,repeated,lowercase,615.47,1
6,4,word,repeated,lowercase,610.32,1
6,5,word,repeated,lowercase,501.85,1
6,6,word,repeated,lowercase,695.91,1
6,7,word,repeated,lowercase,716.72,1
6,8,word,repeated,lowercase,807.52,1
6,9,word,repeated,lowercase,788.26,1
6,10,word,repeated,lowercase,930.97,1
6,11,word,repeated,lowercase,624.86,1
6,12,word,repeated,lowercase,520.29,1
6,13,word,repeated,lowercase,847.68,1
6,14,word,repeated,lowercase,NA,0
6,15,word,repeated,lowercase,765.78,1
6,16,word,repeated,lowercase,NA,0
6,17,word,repeated,lowercase,869.97,1
6,18,word,repeated,lowercase,639.09,1
6,19,word,repeated,lowercase,633.24,1
6,20,word,repeated,lowercase,583.38,1
6,21,word,repeated,lowercase,566.25,1
6,22,word,repeated,lowercase,1146.93,1
6,23,word,repeated,lowercase,891.57,1
6,24,word,repeated,lowercase,543.85,1
6,25,word,repeated,lowercase,616.71,1
6,26,word,repeated,lowercase,566.94,1
6,27,word,repeated,lowercase,533.39,1
6,28,word,repeated,lowercase,686.39,1
6,29,word,repeated,lowercase,941.16,1
6,30,word,repeated,lowercase,746.74,1
6,31,word,repeated,alternating,715.18,1
6,32,word,repeated,alternating,643.28,1
6,33,word,repeated,alternating,788.17,1
6,34,word,repeated,alternating,701.58,1
6,35,word,repeated,alternating,651.67,1
6,36,word,repeated,alternating,643.02,1
6,37,word,repeated,alternating,562,1
6,38,word,repeated,alternating,883.42,1
6,39,word,repeated,alternating,616.74,1
6,40,word,repeated,alternating,609.56,1
6,41,word,repeated,alternating,568.72,1
6,42,word,repeated,alternating,852.76,1
6,43,word,repeated,alternating,836.89,1
6,44,word,repeated,alternating,616.74,1
6,45,word,repeated,alternating,542.6,1
6,46,word,repeated,alternating,578.8,1
6,47,word,repeated,alternating,642.52,1
6,48,word,repeated,alternating,716.74,1
6,49,word,repeated,alternating,504.39,1
6,50,word,repeated,alternating,575.51,1
6,51,word,repeated,alternating,476.81,1
6,52,word,repeated,alternating,600.84,1
6,53,word,repeated,alternating,781.52,1
6,54,word,repeated,alternating,601.74,1
6,55,word,repeated,alternating,505.85,1
6,56,word,repeated,alternating,606.29,1
6,57,word,repeated,alternating,635.46,1
6,58,word,repeated,alternating,522.63,1
6,59,word,repeated,alternating,520.76,1
